,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,Respiratory Diseases ,Respiratory disease Dummy
17199,6,59,1003,"2850 MESA VERDE DR EAST, COSTA MESA",California,Orange,Costa Mesa,21-Aug-00,Parts per billion,7.391304,12,17,11,Parts per million,0.039375,0.045,22,38,Parts per billion,0.043478,1,5,1,Parts per million,0.204167,0.3,0,3,0,No
432361,42,91,13,STATE ARMORY - 1046 BELVOIR RD,Pennsylvania,Montgomery,Norristown,24-Jun-04,Parts per billion,21.333333,32,0,30,Parts per million,0.041625,0.076,11,101,Parts per billion,4.958333,11,14,16,Parts per million,0.275,0.7,7,,0,No
443272,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,13-Jan-05,Parts per billion,33.285714,50,19,47,Parts per million,0.006056,0.018,9,15,Parts per billion,0.766667,1.6,23,,Parts per million,0.7375,1.4,23,16,0,No
443271,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,13-Jan-05,Parts per billion,33.285714,50,19,47,Parts per million,0.006056,0.018,9,15,Parts per billion,0.766667,1.6,23,,Parts per million,0.821739,2.2,23,,0,No
314126,6,111,3001,"545 CENTRAL AVENUE, OXNARD, CA  93030",California,Ventura,Not in a city,14-Aug-03,Parts per billion,13.454545,25,8,24,Parts per million,0.022208,0.038,10,32,Parts per billion,0.571429,1,8,,Parts per million,1.033333,1.6,12,18,0,No
513083,42,17,12,ROCKVIEW LANE,Pennsylvania,Bucks,Bristol,16-Aug-05,Parts per billion,15.958333,22,12,21,Parts per million,0.015542,0.024,13,20,Parts per billion,5.916667,28,11,40,Parts per million,0,0,0,0,0,No
283442,6,13,3001,"583 W. 10TH ST., PITTSBURG",California,Contra Costa,Pittsburg,29-Mar-03,Parts per billion,11.173913,35,19,33,Parts per million,0.037708,0.055,11,47,Parts per billion,1.272727,5,19,7,Parts per million,0.404167,0.5,0,6,0,No
5111,6,13,1002,5551 BETHEL ISLAND RD,California,Contra Costa,Bethel Island,02-May-00,Parts per billion,10.652174,18,5,17,Parts per million,0.013125,0.023,10,19,Parts per billion,0.514286,1.3,11,,Parts per million,0.445833,0.6,2,7,0,No
237139,22,33,9,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,29-Apr-02,Parts per billion,13.666667,26,18,25,Parts per million,0.020917,0.038,10,32,Parts per billion,0.428571,1,2,,Parts per million,1,1.1,17,,0,No
42452,12,95,2002,MORRIS BLVD.,Florida,Orange,Winter Park,13-Nov-00,Parts per billion,18.166667,54,18,51,Parts per million,0.025375,0.044,9,37,Parts per billion,0.866667,2,17,,Parts per million,1.05,1.9,22,,0,No
